ESP	CEC	WATER.CAPACITY	BULK.DENSITY	CARBON	SATURATION	Conductivity	NITROGEN	pH	rfclassifier
3	63	10	1.38	3.8	92	0.31	0.5	7.65	class1
3	14	6	1.42	3	95	0.1	0.2	7.65	class1
3	63	12	1.37	4	94	0.16	0.6	7.65	class1
3	89	10	1.32	5.2	100	0.1	0.62	7.65	class1
3	10	6	1.46	11.25	100	0.1	1.27	7.65	class1
2	132	13	1.39	2.7	69	0.1	0.35	7.65	class1
2	98	10	1.57	2.03	40	0.2	0.27	7.65	class1
2	9	5	1.2	6.23	39	0.1	0.82	7.65	class1
2	51	12	1.39	2.8	45	0.17	0.4	7.65	class1
4	51	12	1.39	2.8	63	0.17	0.4	7.65	class1
2	51	12	1.39	2.8	54	0.17	0.4	7.65	class1
2	-1	12	1.5	0.7	54	0.2	0.2	7.65	class1
2	89	12	1.2	8.75	42	1.79	0.91	7.65	class1
2	41	10	1.47	3	42	0.1	0.5	7.65	class1
2	9	10	1.42	2.8	37	0.1	0.55	7.65	class1
2	84	14	1.4	4.5	97	0.3	0.4	7.65	class1
2	12	5	1.53	2.9	80	0.03	0.42	7.65	class1
2	13	4	1.48	6.72	80	0.1	0.97	7.65	class1
3	78	10	1.25	9.56	80	0.1	1.06	7.65	class1
3	77	10	1.41	1.7	80	0.18	0.27	7.65	class1
1	31	11	1.59	3.25	37	1.06	0.6	7.65	class1
2	44	14	1.5	2.8	40	0.1	0.5	7.65	class1
2	59	10	1.57	4	45	0.2	0.77	7.65	class1
2	51	12	1.39	4	47	0.17	0.5	7.65	class1
2	53	4	1.52	14.6	48	0.1	1.1	7.65	class1
3	7	8	1.2	5.3	45	0.06	0.7	7.65	class1
4	41	12	1.5	3	74	0.1	0.5	7.65	class1
3	59	10	1.57	3.88	76	0.2	0.32	7.65	class1
4	57	13	1.37	6	73	0.14	0.75	4.9	class1
4	41	11	1.5	2.6	74	0.1	0.48	5.1	class1
2	44	12	1.45	8.4	54	0.2	1	4.8	class1
2	72	12	1.46	2.9	54	0.2	0.5	5	class1
2	51	12	1.39	4	42	0.17	0.5	5.2	class1
2	10	12	1.37	3.05	42	0.1	0.6	6	class1
2	51	5	1.5	5.6	37	0.22	0.6	4.9	class1
2	36	7	1.39	1.75	69	0.1	0.2	4.8	class1
2	32	11	1.45	6	40	0.1	1	5.3	class2
2	34	10	1.5	3	39	0.09	0.6	5.7	class1
2	32	11	1.47	6	45	0.1	1	6.2	class1
4	26	11	1.41	19.4	63	0.12	2.34	5.6	class1
3	32	12	1.49	6	45	0.1	1	5.5	class1
4	13	13	1.39	2.8	74	2.07	0.5	6.2	class2
3	49	11	1.49	3.85	76	0.05	0.53	5.7	class1
4	78	11	1.33	6.64	73	0.07	0.75	5.3	class1
4	44	9	1.26	2.5	74	0.2	0.28	7.8	class1
64	64	14	1.24	7.27	45	0.66	0.71	6.2	class1
59	13	5	1.44	2.1	45	0.05	0.3	7.8	class2
67	67	11	1.36	5	100	0.1	0.5	6	class1
62	68	10	1.45	1.75	100	0.14	0.29	7	class1
54	35	11	1.4	4.15	100	0.12	0.5	5.5	class2
1	13	5	1.46	2.1	25	0.1	0.3	7.9	class1
2	13	4	1.51	2.1	40	0.05	0.4	8.2	class2
1	42	3	1.2	3.3	25	0.09	0.4	6.5	class1
1	64	5	1.5	2.5	25	1.09	0.4	6.9	class1
1	37	10	1.34	2	25	0.1	0.22	5.2	class1
2	48	11	1.6	3	91	0.1	0.5	4.5	class1
2	37	10	1.34	2	91	0.1	0.22	4.5	class1
2	27	9	1.49	3.3	98	0.1	0.4	4.5	class2
3	42	6	1.23	3.3	93	0.1	0.4	4.8	class1
3	60	12	1.49	6	93	0.05	0.7	4.5	class1
64	113	13	1.4	2.5	45	0.18	0.2	4.6	class1
59	73	10	1.58	7	45	0.35	0.7	4.3	class2
67	67	13	1.36	5	100	0.1	0.5	4.4	class2
62	73	10	1.53	7	100	0.31	0.7	4.3	class2
54	52	12	1.46	5.75	100	0.08	0.3	4.6	class2
1	44	11	1.4	3.76	37	0.11	0.47	4.6	class1
2	40	14	1.39	4.72	40	0.04	0.68	4.6	class1
2	48	13	1.39	7	45	0.1	0.47	4.2	class1
2	69	11	1.38	5.05	47	0.1	0.54	4.2	class1
2	53	12	1.4	6	48	0.17	0.8	4.2	class1
3	62	11	1.38	4	45	0.1	0.3	4.7	class1
4	62	11	1.36	4	74	0.1	0.3	4.8	class1
3	62	13	1.36	4	76	0.1	0.3	4.8	class1
4	56	13	1.39	8.5	73	0.11	0.9	5.8	class1
4	44	12	1.48	9.5	74	0.05	1.2	5.8	class1
2	43	11	1.59	2.1	40	0.25	0.4	5.8	class1
2	38	7	1.5	9.38	25	0.1	0.98	5.8	class1
3	94	10	1.76	4	25	0.4	0.5	5.8	class1
2	43	11	1.59	2.1	25	0.25	0.4	5.8	class1
2	18	11	1.59	1	25	0.25	0.3	5.8	class1
64	70	12	1.35	9.7	45	0.25	1	5.8	class1
59	16	10	1.4	34.5	45	0.1	1.9	5.8	class2
67	16	4	1.48	9.4	100	0.1	1	5.8	class2
62	43	11	1.59	2.1	100	0.25	0.4	6.1	class1
54	53	12	1.36	6	100	0.1	0.8	6.1	class1
2	33	8	1.56	3.8	54	0.1	0.53	5.9	class1
2	103	13	1.47	2	54	0.15	0.4	5.47	class1
2	33	7	1.53	3.8	42	0.08	0.4	7.45	class1
2	65	11	1.5	2	42	0.05	0.3	5.98	class1
2	51	13	1.39	6.5	37	1.03	0.6	6.94	class1
64	63	11	1.4	4.43	45	0.17	0.62	7.79	class1
59	22	10	1.48	12.34	45	0.1	1.28	5.69	class2
67	68	13	1.45	3.72	100	0.09	0.47	7.54	class1
62	72	12	1.36	5.47	100	0.1	0.55	4.88	class2
54	70	10	1.58	9.24	100	0.35	0.94	6.4	class1
23	16	5	1.49	1	40	0.05	0.2	6.86	class1
12	87	13	1.45	1.8	25	0.12	0.3	6.62	class1
12	42	14	1.48	2.48	40	0.11	0.4	7.54	class1
13	47	9	1.49	5	40	0.1	0.6	5.47	class2
13	45	11	1.59	1	40	0.25	0.2	7.2	class1
2	80	12	1.36	5.25	80	0.1	0.62	6.8	class1
2	62	13	1.38	5.7	80	0.2	0.8	7	class1
2	69	8	1.3	5.2	80	0.1	0.6	6.9	class1
2	64	16	1.35	7	80	0.21	0.8	6.8	class1
2	56	13	1.45	4	80	0.12	0.7	6.7	class1
2	16	4	1.48	15	69	0.1	1.4	6.8	class1
2	10	11	1.36	3.8	40	0.12	0.65	6.8	class1
2	8	5	1.37	2.81	39	0.04	0.5	6.4	class1
2	16	5	1.44	0.8	45	0.1	0.1	6.5	class1
4	56	13	1.45	3.8	63	0.12	0.7	5.5	class1
3	39	10	1.48	20.5	45	0.1	1.02	5.6	class1
2	47	11	1.33	12.2	49	0.09	0.84	5.6	class1
2	31	12	1.51	2.7	42	0.1	0.5	5.9	class1
2	31	12	1.51	2.7	43	0.1	0.5	5.5	class1
3	31	12	1.51	2.7	40	0.1	0.5	5.6	class1
1	90	12	1.46	3	36	0.1	0.5	6.4	class1
1	16	5	1.4	1.35	33	0.04	0.15	6.1	class1
1	33	11	1.4	10.62	8	0.03	1.25	5.7	class1
1	63	16	1.36	8.36	11	0.13	0.96	5.7	class1
1	58	6	1.42	4	30	0.1	0.4	5.6	class1
3	58	12	1.36	4	65	0.1	0.52	6	class1
2	32	15	1.4	4.9	83	0.19	0.6	6.7	class1
6	32	10	1.29	25	98	0.1	1.6	6.9	class1
