pH	CEC	ESP	Conductivity	NITROGEN	rfeextract
4.6	52	54	0.08	0.3	class2
4.6	44	1	0.11	0.47	class1
4.6	40	2	0.04	0.68	class1
4.2	48	2	0.1	0.47	class1
4.2	69	2	0.1	0.54	class1
4.2	53	2	0.17	0.8	class1
4.7	62	3	0.1	0.3	class1
4.8	62	4	0.1	0.3	class1
4.8	62	3	0.1	0.3	class1
5.8	56	4	0.11	0.9	class1
5.8	44	4	0.05	1.2	class1
5.8	43	2	0.25	0.4	class1
5.8	38	2	0.1	0.98	class1
5.8	94	3	0.4	0.5	class1
5.8	43	2	0.25	0.4	class1
5.8	18	2	0.25	0.3	class1
5.8	70	64	0.25	1	class1
5.8	16	59	0.1	1.9	class2
5.8	16	67	0.1	1	class2
6.1	43	62	0.25	0.4	class1
6.1	53	54	0.1	0.8	class1
5.9	33	2	0.1	0.53	class1
5.47	103	2	0.15	0.4	class1
7.45	33	2	0.08	0.4	class1
5.98	65	2	0.05	0.3	class1
6.94	51	2	1.03	0.6	class1
7.79	63	64	0.17	0.62	class1
5.69	22	59	0.1	1.28	class2
7.54	68	67	0.09	0.47	class1
4.88	72	62	0.1	0.55	class2
6.4	70	54	0.35	0.94	class1
6.86	16	23	0.05	0.2	class1
6.62	87	12	0.12	0.3	class1
7.54	42	12	0.11	0.4	class1
5.47	47	13	0.1	0.6	class1
7.2	45	13	0.25	0.2	class1
6.8	80	2	0.1	0.62	class1
7	62	2	0.2	0.8	class1
6.9	69	2	0.1	0.6	class1
6.8	64	2	0.21	0.8	class1
6.7	56	2	0.12	0.7	class1
6.8	16	2	0.1	1.4	class1
6.8	10	2	0.12	0.65	class1
6.4	8	2	0.04	0.5	class1
6.5	16	2	0.1	0.1	class1
5.5	56	4	0.12	0.7	class1
5.6	39	3	0.1	1.02	class1
5.6	47	2	0.09	0.84	class1
5.9	31	2	0.1	0.5	class1
5.5	31	2	0.1	0.5	class1
5.6	31	3	0.1	0.5	class1
6.4	90	1	0.1	0.5	class1
6.1	16	1	0.04	0.15	class1
5.7	33	1	0.03	1.25	class1
5.7	63	1	0.13	0.96	class1
5.6	58	1	0.1	0.4	class1
6	58	3	0.1	0.52	class1
6.7	32	2	0.19	0.6	class1
6.9	32	6	0.1	1.6	class1
6.2	54	3	0.09	0.92	class1
6.2	44	2	0.08	0.5	class1
6.7	58	2	0.1	0.5	class1
7.8	72	1	0.1	0.4	class1
7.8	41	1	9.8	0.4	class1
7.8	32	1	0.19	0.6	class1
7.6	1	1	0.05	0.2	class1
7.7	1	3	0.03	0.2	class1
7.7	18	2	0.06	0.88	class1
7.5	32	2	0.19	0.6	class1
7.5	37	2	0.1	0.3	class1
7.5	32	3	0.19	0.6	class1
7.5	24	2	0	2.62	class1
7.5	44	2	0	0.47	class1
7.5	50	2	0	1.44	class1
7	68	2	0	0.39	class1
5.8	10	4	0	1.04	class1
5.8	39	2	0	1.4	class1
6.1	57	2	0	0.68	class1
6.1	56	2	0	0.43	class1
5.1	31	2	0	0.5	class1
5.8	31	2	0	0.5	class1
5.6	31	2	0	0.5	class1
5.8	9	2	0	1.43	class1
5.1	37	2	0	0.4	class1
5.8	57	3	0	0.76	class1
5.6	16	3	0	0.7	class1
5.8	43	2	0	0.7	class1
7.14	77	2	0	0.2	class1
4.5	84	2	0	0.2	class1
4.9	93	3	0	0.2	class1
5	52	3	0	0.7	class1
6	24	3	0	0.84	class1
4.2	24	3	0	0.61	class2
5.6	39	3	0	0.39	class1
5	51	3	0	0.57	class1
6	16	2	0	1.4	class1
